True Values;Predictions;Difference
11,1097;12,1975;-1,0878
9,6232;11,8328;-2,2096
10,8298;12,6213;-1,7915
10,6714;10,6972;-0,0258
11,1672;12,6693;-1,5021
9,5789;9,0307;0,5482
12,3109;14,0612;-1,7504
11,0167;13,5105;-2,4938
-133,4775;-96,4936;-36,9839
12,3231;13,3550;-1,0319
11,4755;13,8414;-2,3659
12,3046;14,0515;-1,7470
10,5157;10,5694;-0,0537
10,6366;12,2601;-1,6235
12,2793;11,4142;0,8651
10,1741;11,9045;-1,7304
9,8380;12,4126;-2,5747
-136,4924;-99,6151;-36,8773
9,6462;10,7795;-1,1333
10,7184;13,1888;-2,4704
12,5164;14,4106;-1,8942
11,1980;11,2004;-0,0024
12,0767;13,6814;-1,6047
12,1404;11,3452;0,7952
11,7410;13,7020;-1,9610
12,0876;15,1011;-3,0136
-138,8882;-102,9103;-35,9779
11,0152;12,1692;-1,1540
11,2500;13,5568;-2,3068
10,3646;12,2563;-1,8917
11,8601;11,8266;0,0335
10,4925;12,0018;-1,5093
11,1400;10,5713;0,5686
9,9627;11,8462;-1,8835
12,1437;14,7950;-2,6514
-135,2662;-98,5864;-36,6798
9,8774;10,9660;-1,0886
10,8228;13,1121;-2,2894
10,6215;12,3723;-1,7508
10,7414;10,7888;-0,0474
11,8339;13,4199;-1,5860
11,0511;10,2720;0,7792
12,3892;14,2209;-1,8317
10,2479;12,9718;-2,7239
-134,6671;-97,8399;-36,8273
11,1640;12,3176;-1,1536
11,2398;13,5721;-2,3323
10,9337;12,7828;-1,8491
11,7691;11,7286;0,0405
10,8590;12,4086;-1,5496
11,9564;11,2000;0,7564
9,9293;11,7908;-1,8615
10,8466;13,5332;-2,6865
-135,7027;-98,8967;-36,8060
10,5739;11,6831;-1,1092
11,7822;14,1968;-2,4146
12,1556;14,0208;-1,8652
11,2730;11,3304;-0,0574
10,4641;12,0663;-1,6022
11,4850;10,8041;0,6809
10,8217;12,6566;-1,8349
11,4599;14,1987;-2,7388
-136,9280;-100,5634;-36,3646
11,6480;12,7085;-1,0605
11,2334;13,5416;-2,3082
12,5958;14,6163;-2,0205
11,5084;11,4303;0,0780
12,0042;13,3448;-1,3406
9,4882;9,1183;0,3699
10,3831;12,1991;-1,8160
11,5198;13,8200;-2,3002
-137,2679;-100,5740;-36,6939
9,7274;10,7872;-1,0598
11,1580;13,2460;-2,0879
9,6124;11,3427;-1,7303
11,0796;11,0685;0,0112
10,3170;11,7739;-1,4569
9,9398;9,3715;0,5683
9,8712;11,5282;-1,6570
10,1818;12,5100;-2,3282
-129,3551;-91,5226;-37,8325
9,4864;10,5419;-1,0555
11,1071;13,3079;-2,2008
12,5257;14,3406;-1,8148
11,8321;11,7910;0,0411
9,5003;10,9493;-1,4490
10,1727;9,7106;0,4621
9,7560;11,4139;-1,6580
9,9079;12,2203;-2,3124
-131,5953;-94,0027;-37,5926
