leak_group_model;leak_node_model;leak_node_test;loss;accuracy
4;1;1;0.008962576277554035;0.9997953772544861
4;1;2;0.05158897489309311;0.9813244342803955
4;1;3;0.015139734372496605;0.9994233846664429
4;1;4;0.09805873036384583;0.9428757429122925
4;1;5;0.010980859398841858;0.9996093511581421
4;1;6;0.7631568312644958;0.875
4;1;7;0.08037454634904861;0.9584077596664429
4;1;8;0.07584554702043533;0.961532711982727
4;1;9;0.035571496933698654;0.992373526096344
4;2;1;0.0271137785166502;0.9944010376930237
4;2;2;0.008374257013201714;0.9996837973594666
4;2;3;0.015048357658088207;0.9985862970352173
4;2;4;0.01972471922636032;0.9976004362106323
4;2;5;0.023495810106396675;0.9958333373069763
4;2;6;0.6968398094177246;0.8750743865966797
4;2;7;0.016217214986681938;0.9983444809913635
4;2;8;0.010581119917333126;0.9995907545089722
4;2;9;0.008858396671712399;0.9997767806053162
4;3;1;0.00781466718763113;0.9995535612106323
4;3;2;0.012787186540663242;0.999200165271759
4;3;3;0.005463323090225458;0.9999070167541504
4;3;4;0.03811570629477501;0.9889695048332214
4;3;5;0.0070920162834227085;0.9995535612106323
4;3;6;0.8162150979042053;0.875
4;3;7;0.022868165746331215;0.9959635138511658
4;3;8;0.022622283548116684;0.996279776096344
4;3;9;0.00783164519816637;0.9998697638511658
4;4;1;0.004421161022037268;0.9996652007102966
4;4;2;0.0014023525873199105;0.9999442100524902
4;4;3;0.0032325999345630407;0.9999628067016602
4;4;4;0.0009315665229223669;0.9999814033508301
4;4;5;0.004519293084740639;0.999627947807312
4;4;6;0.7708031535148621;0.8764322996139526
4;4;7;0.004860158544033766;0.9997209906578064
4;4;8;0.0008048778399825096;1.0
4;4;9;0.0018308060243725777;0.9999814033508301
4;5;1;0.009633427485823631;0.9996652007102966
4;5;2;0.03398643434047699;0.993545413017273
4;5;3;0.011503483168780804;0.9997581839561462
4;5;4;0.08067549765110016;0.9562128186225891
4;5;5;0.009915824979543686;0.9997209906578064
4;5;6;0.7545060515403748;0.875
4;5;7;0.05133528634905815;0.9819940328598022
4;5;8;0.05515287071466446;0.9800595045089722
4;5;9;0.02287670597434044;0.9980654716491699
4;6;1;0.270852267742157;0.8941964507102966
4;6;2;0.3596208989620209;0.8789620399475098
4;6;3;0.32892492413520813;0.8842447996139526
4;6;4;0.3399789035320282;0.8808965682983398
4;6;5;0.28863847255706787;0.8898623585700989
4;6;6;0.01921466365456581;1.0
4;6;7;0.36730116605758667;0.8780878186225891
4;6;8;0.3598685562610626;0.8786086440086365
4;6;9;0.35983678698539734;0.878311038017273
4;7;1;0.04058752581477165;0.9856584668159485
4;7;2;0.018432699143886566;0.9970982074737549
4;7;3;0.023430997505784035;0.9944754242897034
4;7;4;0.05693487450480461;0.9762648940086365
4;7;5;0.03716177120804787;0.9873697757720947
4;7;6;0.6977789998054504;0.875372052192688
4;7;7;0.005963793024420738;0.9998697638511658
4;7;8;0.03222562000155449;0.9906250238418579
4;7;9;0.013273613527417183;0.9988839030265808
4;8;1;0.03496558219194412;0.9909970164299011
4;8;2;0.011973024345934391;0.9995721578598022
4;8;3;0.024086881428956985;0.9960565567016602
4;8;4;0.015847431495785713;0.9992373585700989
4;8;5;0.033342305570840836;0.9918712973594666
4;8;6;0.7465030550956726;0.8750185966491699
4;8;7;0.03413623198866844;0.9919270873069763
4;8;8;0.009440763853490353;0.9998884201049805
4;8;9;0.015876201912760735;0.999218761920929
4;9;1;0.027153316885232925;0.9948102831840515
4;9;2;0.013241144828498363;0.9992559552192688
4;9;3;0.01549743115901947;0.9984933137893677
4;9;4;0.034982580691576004;0.9914248585700989
4;9;5;0.023449895903468132;0.995721697807312
4;9;6;0.7057426571846008;0.8750557899475098
4;9;7;0.018255461007356644;0.9980096817016602
4;9;8;0.0194263756275177;0.9982143044471741
4;9;9;0.01090259663760662;0.9997953772544861
